           Exposure                          Description                       Date                 Temp
20221218_0000002_01                              skyflat 2022-12-18T00:23:57.830373     5.25111111111111
20221218_0000003_01                              skyflat 2022-12-18T00:25:20.937396     5.24277777777778
20221218_0000004_01                              skyflat 2022-12-18T00:26:45.451348     5.20222222222222
20221218_0000005_01                              skyflat 2022-12-18T00:28:16.592693     5.14833333333333
20221218_0000006_01                            ldls_long 2022-12-18T01:24:28.344678     5.11444444444444
20221218_0000006_02                            ldls_long 2022-12-18T01:24:28.344678     5.11444444444444
20221218_0000006_03                            ldls_long 2022-12-18T01:24:28.344678     5.11444444444444
20221218_0000007_01                                 Cd-A 2022-12-18T01:28:39.357701     5.12555555555555
20221218_0000007_02                                 Cd-A 2022-12-18T01:28:39.357701     5.12555555555555
20221218_0000007_03                                 Cd-A 2022-12-18T01:28:39.357701     5.12555555555555
20221218_0000008_01                                   Hg 2022-12-18T01:32:55.417250                 5.01
20221218_0000008_02                                   Hg 2022-12-18T01:32:55.417250                 5.01
20221218_0000008_03                                   Hg 2022-12-18T01:32:55.417250                 5.01
20221218_0000009_01                                 bias 2022-12-18T01:40:07.854300     4.98277777777778
20221218_0000009_02                                 bias 2022-12-18T01:40:07.854300     4.98277777777778
20221218_0000009_03                                 bias 2022-12-18T01:40:07.854300     4.98277777777778
20221218_0000009_04                                 bias 2022-12-18T01:40:07.854300     4.98277777777778
20221218_0000009_05                                 bias 2022-12-18T01:40:07.854300     4.98277777777778
20221218_0000009_06                                 bias 2022-12-18T01:40:07.854300     4.98277777777778
20221218_0000009_07                                 bias 2022-12-18T01:40:07.854300     4.98277777777778
20221218_0000009_08                                 bias 2022-12-18T01:40:07.854300     4.98277777777778
20221218_0000009_09                                 bias 2022-12-18T01:40:07.854300     4.98277777777778
20221218_0000009_10                                 bias 2022-12-18T01:40:07.854300     4.98277777777778
20221218_0000009_11                                 bias 2022-12-18T01:40:07.854300     4.98277777777778
20221218_0000010_01                            DEXfl1675 2022-12-18T02:09:52.378693     5.09222222222222
20221218_0000010_02                            DEXfl1675 2022-12-18T02:09:52.378693     5.09222222222222
20221218_0000010_03                            DEXfl1675 2022-12-18T02:09:52.378693     5.09222222222222
20221218_0000011_01                            DEXfl0814 2022-12-18T02:41:31.022439     5.21111111111111
20221218_0000011_02                            DEXfl0814 2022-12-18T02:41:31.022439     5.21111111111111
20221218_0000011_03                            DEXfl0814 2022-12-18T02:41:31.022439     5.21111111111111
20221218_0000012_01                             parallel 2022-12-18T03:30:21.341969     5.36777777777778
20221218_0000013_01                            DEXfl0642 2022-12-18T03:41:50.542356     5.30166666666667
20221218_0000013_02                            DEXfl0642 2022-12-18T03:41:50.542356     5.30166666666667
20221218_0000013_03                            DEXfl0642 2022-12-18T03:41:50.542356     5.30166666666667
20221218_0000014_01                            DEXfl0639 2022-12-18T04:14:00.369763     4.96388888888889
20221218_0000014_02                            DEXfl0639 2022-12-18T04:14:00.369763     4.96388888888889
20221218_0000014_03                            DEXfl0639 2022-12-18T04:14:00.369763     4.96388888888889
20221218_0000016_01                               M33_p3 2022-12-18T05:05:33.785578     3.94222222222222
20221218_0000016_02                               M33_p3 2022-12-18T05:05:33.785578     3.94222222222222
20221218_0000016_03                               M33_p3 2022-12-18T05:05:33.785578     3.94222222222222
20221218_0000017_01                               M33_p4 2022-12-18T05:30:35.316673     4.53722222222222
20221218_0000017_02                               M33_p4 2022-12-18T05:30:35.316673     4.53722222222222
20221218_0000017_03                               M33_p4 2022-12-18T05:30:35.316673     4.53722222222222
20221218_0000018_01                             parallel 2022-12-18T06:26:03.795577     5.24444444444444
20221218_0000019_01                                 dark 2022-12-18T06:39:49.638387     4.77722222222222
20221218_0000019_02                                 dark 2022-12-18T06:39:49.638387     4.77722222222222
20221218_0000019_03                                 dark 2022-12-18T06:39:49.638387     4.77722222222222
20221218_0000020_01                             parallel 2022-12-18T08:12:07.408019     4.05111111111111
20221218_0000021_01                             parallel 2022-12-18T08:34:50.141913     4.46888888888889
20221218_0000022_01                             parallel 2022-12-18T09:16:07.080161     5.13111111111111
20221218_0000023_01                             parallel 2022-12-18T09:52:33.263458     6.03833333333333
20221218_0000024_01                             parallel 2022-12-18T10:23:42.192041     5.39777777777778
20221218_0000025_01                             parallel 2022-12-18T10:50:20.161671     5.49611111111111
20221218_0000026_01                             parallel 2022-12-18T11:29:42.462136     5.40055555555555
20221218_0000027_01                             parallel 2022-12-18T12:28:13.652550                5.335
20221218_0000028_01                                 bias 2022-12-18T12:29:06.748687                5.335
20221218_0000029_01                                 Cd-A 2022-12-18T12:32:27.798309                5.335
20221218_0000030_01                                   Hg 2022-12-18T12:33:51.230800                5.335
20221218_0000031_01                            ldls_long 2022-12-18T23:24:59.299636     8.46166666666666
20221218_0000031_02                            ldls_long 2022-12-18T23:24:59.299636     8.46166666666666
20221218_0000031_03                            ldls_long 2022-12-18T23:24:59.299636     8.46166666666666
20221218_0000032_01                                 Cd-A 2022-12-18T23:29:09.158862     8.37388888888889
20221218_0000032_02                                 Cd-A 2022-12-18T23:29:09.158862     8.37388888888889
20221218_0000032_03                                 Cd-A 2022-12-18T23:29:09.158862     8.37388888888889
20221218_0000033_01                                   Hg 2022-12-18T23:33:17.647578     8.22555555555555
20221218_0000033_02                                   Hg 2022-12-18T23:33:17.647578     8.22555555555555
